species	SRR31854928	SRR31854929	SRR31854935
Actinomyces oris	0.0002589188289471	0.0003574220931531	
Aggregatibacter actinomycetemcomitans		0.0002233888082207	
Bifidobacterium dentium		0.0002680665698648	0.0002458996237735
Bifidobacterium longum	0.0002404246268794	0.0004020998547861	0.0003196695109056
Capnocytophaga sputigena		0.0002904054506869	0.0009344185703395
Corynebacterium matruchotii		0.0002904054506869	0.9777712016966714
Enterococcus faecalis	0.0002219304566492	0.0004467776164414	
Erysipelatoclostridium ramosum	0.0002589188290123	0.0003127443315089	0.0002458996237735
Filifactor alocis	0.0002412045810875		
Fusobacterium periodonticum	0.0002034362227441		
Klebsiella aerogenes		0.0003246827900816	
Klebsiella variicola		0.000256128111292	
Laceyella sacchari	0.0003328956372177	0.0005361331397296	0.0005163892099245
Lactobacillus brevis			0.0003934393980377
Lactobacillus buchneri	0.0002591049652071	0.0023370279711176	
Lactobacillus coleohominis		0.0002904062927878	
Lactobacillus crispatus	0.0002589188289471		0.000344259473283
Lactobacillus fornicalis		0.0037895220924322	
Lactobacillus gasseri	0.0002589238820554		0.0002704895861509
Lactobacillus jensenii	0.0003328956372177	0.985497840931648	0.0003688834367101
Lactobacillus reuteri	0.0004533012000142	0.000669621601879	0.0006147490594339
Lactobacillus rhamnosus	0.0002589188289471	0.0004914553780855	0.0003196695109056
Limosilactobacillus fermentum	0.0002404246268794		
Paraburkholderia fungorum			0.0074752421177388
Phyllobacterium myrsinacearum		0.0005138133181273	0.0060981828892809
Prevotella denticola	0.0002219304248113		0.0002950795485282
Rothia mucilaginosa	0.0002404246272181		
Scardovia wiggsiae			0.0003934393980377
Schaalia odontolytica	0.0002219304248118		
Staphylococcus epidermidis	0.0002959072330824	0.0002457276890427	0.0002950795485282
Staphylococcus warneri			0.0002947520869572
Streptococcus anginosus	0.0004589596077661		
Streptococcus constellatus	0.0009438477896668		
Streptococcus cristatus	0.0004808874606316	0.0003797609739752	0.0005898029457288
Streptococcus gordonii	0.000532124352429	0.0004020998547972	0.0002706761348647
Streptococcus intermedius	0.9906963729063673	0.0003127443315089	0.0003688494356603
Streptococcus milleri	0.000199826168394		
Streptococcus mutans	0.0002589192060189	0.0003123103600039	0.0003934393980377
Streptococcus oralis	0.0006527044279241	0.0004914714260148	0.0006393390218113
Streptococcus parasanguinis	0.0002448343754737		
Streptococcus pneumoniae	0.0002349842410736		
Streptococcus sanguinis	0.0002276740712416		
Streptococcus suis	0.0002684555312867	0.0002680665698648	0.0002460692263875
Veillonella dispar		0.0002898769922647	0.0002950795485282
	0.0	0.0	0.0
