"tax_id","emOTU"
28129,"sp26"
1019,"sp5"
544580,"sp1"
1660,"sp29"
1689,"sp3"
216816,"sp4"
230143,"sp28"
43768,"sp6"
43675,"sp27"
1282,"sp30"
1292,"sp31"
37482,"sp13"
1351,"sp7"
1580,"sp14"
1581,"sp15"
181675,"sp16"
47770,"sp17"
88164,"sp18"
1596,"sp19"
109790,"sp20"
1598,"sp21"
47715,"sp22"
1613,"sp23"
1328,"sp32"
76860,"sp33"
45634,"sp34"
1302,"sp35"
1338,"sp36"
33040,"sp37"
1309,"sp38"
1303,"sp39"
1318,"sp40"
1313,"sp41"
1305,"sp42"
1307,"sp43"
143361,"sp9"
1547,"sp8"
39778,"sp44"
860,"sp10"
28101,"sp25"
134537,"sp24"
548,"sp11"
244366,"sp12"
714,"sp2"
